"Time","Engine Total Fuel Used (l)","Combustible Calculado (l)","Engine Fuel Rate (l/h)","Engine Instantaneous Fuel Economy (km/L)","Wheel-Based Vehicle Speed (kph)","High Resolution Total Vehicle Distance (m)"
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.998,41480.000,41480.085,5.650,0.000,0.000,136829.875
2.000,41480.000,41480.086,5.650,0.000,0.000,136829.875
2.999,41480.000,41480.088,5.600,0.000,0.000,136829.875
4.000,41480.000,41480.090,5.450,0.000,0.000,136829.875
4.999,41480.000,41480.091,5.600,0.000,0.000,136829.875
6.000,41480.000,41480.093,5.600,0.000,0.000,136829.875
7.000,41480.000,41480.094,5.550,0.000,0.000,136829.875
8.001,41480.000,41480.096,5.550,0.000,0.000,136829.875
9.000,41480.000,41480.097,5.600,0.000,0.000,136829.875
9.999,41480.000,41480.099,5.600,0.000,0.000,136829.875
10.999,41480.000,41480.100,5.550,0.000,0.000,136829.875
11.999,41480.000,41480.102,5.500,0.000,0.000,136829.875
13.000,41480.000,41480.104,5.400,0.000,0.000,136829.875
14.000,41480.000,41480.105,5.550,0.000,0.000,136829.875
15.000,41480.000,41480.107,5.550,0.000,0.000,136829.875
15.999,41480.000,41480.108,5.800,0.000,0.000,136829.875
17.000,41480.000,41480.110,5.550,0.000,0.000,136829.875
17.999,41480.000,41480.111,5.500,0.000,0.000,136829.875
18.999,41480.000,41480.113,5.550,0.000,0.000,136829.875
20.000,41480.000,41480.114,5.550,0.000,0.000,136829.875
21.001,41480.000,41480.116,5.550,0.000,0.000,136829.875
21.999,41480.000,41480.117,5.550,0.000,0.000,136829.875
23.000,41480.000,41480.119,5.500,0.000,0.000,136829.875
23.999,41480.000,41480.121,5.550,0.000,0.000,136829.875
25.000,41480.000,41480.122,5.500,0.000,0.000,136829.875
26.001,41480.000,41480.124,5.550,0.000,0.000,136829.875
26.999,41480.000,41480.125,5.500,0.000,0.000,136829.875
28.000,41480.000,41480.127,5.450,0.000,0.000,136829.875
28.999,41480.000,41480.128,5.500,0.000,0.000,136829.875
30.000,41480.000,41480.130,5.500,0.000,0.000,136829.875
31.000,41480.000,41480.131,5.350,0.000,0.000,136829.875
31.999,41480.000,41480.133,5.100,0.000,0.000,136829.875
32.999,41480.000,41480.134,5.250,0.000,0.000,136829.875
34.001,41480.000,41480.136,5.200,0.000,0.000,136829.875
35.000,41480.000,41480.137,5.200,0.000,0.000,136829.875
36.000,41480.000,41480.138,5.200,0.000,0.000,136829.875
36.999,41480.000,41480.140,5.250,0.000,0.000,136829.875
38.000,41480.000,41480.141,5.200,0.000,0.000,136829.875
38.999,41480.000,41480.143,5.200,0.000,0.000,136829.875
40.002,41480.000,41480.144,5.250,0.000,0.000,136829.875
41.003,41480.000,41480.146,5.250,0.000,0.000,136829.875
42.006,41480.000,41480.147,5.200,0.000,0.000,136829.875
42.999,41480.000,41480.149,5.350,0.000,0.000,136829.875
44.000,41480.000,41480.150,5.200,0.000,0.000,136829.875
45.000,41480.000,41480.151,5.200,0.000,0.000,136829.875
45.999,41480.000,41480.153,5.250,0.000,0.000,136829.875
47.001,41480.000,41480.154,5.200,0.000,0.000,136829.875
48.000,41480.000,41480.156,5.200,0.000,0.000,136829.875
48.999,41480.000,41480.157,5.400,0.000,0.000,136829.875
50.004,41480.000,41480.159,5.200,0.000,0.000,136829.875
51.000,41480.000,41480.160,5.200,0.000,0.000,136829.875
52.000,41480.000,41480.162,5.150,0.000,0.000,136829.875
52.999,41480.000,41480.163,5.350,0.000,0.000,136829.875
53.999,41480.000,41480.164,5.150,0.000,0.000,136829.875
55.000,41480.000,41480.166,5.150,0.000,0.000,136829.875
56.000,41480.000,41480.167,5.150,0.000,0.000,136829.875
56.999,41480.000,41480.169,5.200,0.000,0.000,136829.875
58.000,41480.000,41480.170,5.150,0.000,0.000,136829.875
58.999,41480.000,41480.172,5.200,0.000,0.000,136829.875
59.999,41480.000,41480.173,5.150,0.000,0.000,136829.875
61.002,41480.000,41480.174,5.300,0.000,0.000,136829.875
62.000,41480.000,41480.176,5.150,0.000,0.000,136829.875
62.999,41480.000,41480.177,5.150,0.000,0.000,136829.875
64.000,41480.000,41480.179,5.100,0.000,0.000,136829.875
65.000,41480.000,41480.180,5.150,0.000,0.000,136829.875
66.000,41480.000,41480.182,5.150,0.000,0.000,136829.875
67.001,41480.000,41480.183,5.150,0.000,0.000,136829.875
67.999,41480.000,41480.184,5.100,0.000,0.000,136829.875
69.000,41480.000,41480.186,5.100,0.000,0.000,136829.875
70.000,41480.000,41480.187,5.100,0.000,0.000,136829.875
70.999,41480.000,41480.189,5.100,0.000,0.000,136829.875
72.001,41480.000,41480.190,5.100,0.000,0.000,136829.875
73.000,41480.000,41480.191,5.250,0.000,0.000,136829.875
74.001,41480.000,41480.193,5.100,0.000,0.000,136829.875
74.999,41480.000,41480.194,5.100,0.000,0.000,136829.875
76.000,41480.000,41480.196,5.100,0.000,0.000,136829.875
77.000,41480.000,41480.197,5.150,0.000,0.000,136829.875
78.000,41480.000,41480.199,5.100,0.000,0.000,136829.875
79.000,41480.000,41480.200,5.150,0.000,0.000,136829.875
79.999,41480.000,41480.201,5.100,0.000,0.000,136829.875
81.000,41480.000,41480.203,4.950,0.000,0.000,136829.875
82.000,41480.000,41480.204,5.100,0.000,0.000,136829.875
83.000,41480.000,41480.206,5.100,0.000,0.000,136829.875
83.999,41480.000,41480.207,5.100,0.000,0.000,136829.875
85.000,41480.000,41480.208,5.100,0.000,0.000,136829.875
85.999,41480.000,41480.210,5.100,0.000,0.000,136829.875
87.000,41480.000,41480.211,5.100,0.000,0.000,136829.875
87.999,41480.000,41480.213,5.150,0.000,0.000,136829.875
89.000,41480.000,41480.214,5.150,0.000,0.000,136829.875
89.999,41480.000,41480.216,5.150,0.000,0.000,136829.875
91.000,41480.000,41480.217,5.150,0.000,0.000,136829.875
